测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_firewalld_start_status,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_start_status/2023-05-26-16:13:43.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_start_stop,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_start_stop/2023-05-26-16:14:11.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_whitelist_command,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_command/2023-05-26-16:15:12.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_whitelist_contexts,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_contexts/2023-05-26-16:15:47.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_whitelist_uids,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_uids/2023-05-26-16:16:12.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_whitelist_user,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_user/2023-05-26-16:16:41.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_zone_add_service,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_zone_add_service/2023-05-26-16:17:12.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_zone_migration,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_zone_migration/2023-05-26-16:23:08.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_service_firewalld,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_service_firewalld/2023-05-26-16:17:37.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_freeradius_freeradius-utils_radsqlrelay,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/freeradius/oe_test_freeradius_freeradius-utils_radsqlrelay/2023-05-26-18:53:42.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/freeradius/oe_test_freeradius_freeradius-utils_radsqlrelay.md)
